id_action,action,categorie_beneficiaire_action
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Entreprises (grandes entreprises)"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Citoyens"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Entreprises (petites ou moyennes entreprises)"
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","Entreprises (grandes entreprises)"
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","Entreprises (petites ou moyennes entreprises)"
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","Milieu municipal"
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","Organismes à but non lucratif"
1011.0209,"1.1.1.2e. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge sur route et hors réseau","Milieu municipal"
1011.0209,"1.1.1.2e. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge sur route et hors réseau","Ministères et organismes gouvernementaux"
1011.0211,"1.1.1.2f. Appuyer l'implantation des bornes dans les résidences, les entreprises et sur le réseau routier - Appui à l'implantation  de BRCC et de bornes de niveau 2","Entreprises (petites ou moyennes entreprises)"
1011.0211,"1.1.1.2f. Appuyer l'implantation des bornes dans les résidences, les entreprises et sur le réseau routier - Appui à l'implantation  de BRCC et de bornes de niveau 2","Hydro-Québec"
1011.0211,"1.1.1.2f. Appuyer l'implantation des bornes dans les résidences, les entreprises et sur le réseau routier - Appui à l'implantation  de BRCC et de bornes de niveau 2","Entreprises (grandes entreprises)"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","Entreprises (grandes entreprises)"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","Entreprises (petites ou moyennes entreprises)"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","EXO, le réseau de transport métropolitain"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","Les sociétés de transport en commun"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","Milieu municipal"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Transporteurs scolaires à contrat"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Centre de services scolaires"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Entreprises (petites ou moyennes entreprises)"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Entreprises propriétaires d'installations fournissant un service de recharge"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Établissements d'enseignement privé"
1011.0405,"1.1.1.4c. Appuyer l'électrification des autobus interurbains et privés","Entreprises (petites ou moyennes entreprises)"
1011.0405,"1.1.1.4c. Appuyer l'électrification des autobus interurbains et privés","Organismes à but non lucratif"
1011.0405,"1.1.1.4c. Appuyer l'électrification des autobus interurbains et privés","Entreprises (grandes entreprises)"
1012.0101,"1.1.2.1a. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Écocamionnage","Entreprises (grandes entreprises)"
1012.0101,"1.1.2.1a. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Écocamionnage","Entreprises (petites ou moyennes entreprises)"
1012.0101,"1.1.2.1a. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Écocamionnage","Milieu municipal"
1012.0101,"1.1.2.1a. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Écocamionnage","Organismes à but non lucratif"
