id_action,action,categorie_beneficiaire_action
2011.0601,"2.1.1.6. Soutenir la production et la distribution de gaz naturel renouvelable","Organismes à but non lucratif"
2011.0701,"2.1.1.7a. Soutenir l'innovation dans le domaine des bioénergies - Technoclimat (Bioénergie)","Organismes à but non lucratif"
2011.0701,"2.1.1.7a. Soutenir l'innovation dans le domaine des bioénergies - Technoclimat (Bioénergie)","Entreprises (grandes entreprises)"
2011.0701,"2.1.1.7a. Soutenir l'innovation dans le domaine des bioénergies - Technoclimat (Bioénergie)","Entreprises (grands émetteurs)"
2011.0701,"2.1.1.7a. Soutenir l'innovation dans le domaine des bioénergies - Technoclimat (Bioénergie)","Entreprises (petites ou moyennes entreprises)"
2011.0703,"2.1.1.7b. Soutenir l'innovation dans le domaine des bioénergies (Stratégie H2 et bioénergies)","Milieu de la recherche scientifique"
2011.0703,"2.1.1.7b. Soutenir l'innovation dans le domaine des bioénergies (Stratégie H2 et bioénergies)","Entreprises (petites ou moyennes entreprises)"
2011.0705,"2.1.1.7c. Soutenir l'innovation dans le domaine des bioénergies - Innovation - bioénergies- biomasse forestière résiduelle","Milieu de la recherche scientifique"
2011.0705,"2.1.1.7c. Soutenir l'innovation dans le domaine des bioénergies - Innovation - bioénergies- biomasse forestière résiduelle","Organismes à but non lucratif"
2011.08,"2.1.1.8. Soutenir l’innovation dans la filière de l’hydrogène vert - Technoclimat (Hydrogène)","Entreprises (grandes entreprises)"
2011.08,"2.1.1.8. Soutenir l’innovation dans la filière de l’hydrogène vert - Technoclimat (Hydrogène)","Entreprises (grands émetteurs)"
2011.08,"2.1.1.8. Soutenir l’innovation dans la filière de l’hydrogène vert - Technoclimat (Hydrogène)","Entreprises (petites ou moyennes entreprises)"
2011.08,"2.1.1.8. Soutenir l’innovation dans la filière de l’hydrogène vert - Technoclimat (Hydrogène)","Organismes à but non lucratif"
2021.02,"2.2.1.2. Encourager les pratiques de tourisme climato-responsable","FAQDD"
2021.02,"2.2.1.2. Encourager les pratiques de tourisme climato-responsable","Organismes à but non lucratif"
2021.03,"2.2.1.3. Favoriser l'adoption des pratiques de soutien financier durable","Organismes à but non lucratif"
2031.01,"2.3.1.1a. Appuyer l’émergence de technologies de réduction d'émissions de GES tout au long de la chaîne d’innovation - Technoclimat","Entreprises (grandes entreprises)"
2031.01,"2.3.1.1a. Appuyer l’émergence de technologies de réduction d'émissions de GES tout au long de la chaîne d’innovation - Technoclimat","Entreprises (grands émetteurs)"
2031.01,"2.3.1.1a. Appuyer l’émergence de technologies de réduction d'émissions de GES tout au long de la chaîne d’innovation - Technoclimat","Entreprises (petites ou moyennes entreprises)"
2031.01,"2.3.1.1a. Appuyer l’émergence de technologies de réduction d'émissions de GES tout au long de la chaîne d’innovation - Technoclimat","Organismes à but non lucratif"
2031.0103,"2.3.1.1b.  Appuyer l’émergence de technologies de réduction d'émissions de GES tout au long de la chaîne d’innovation - Soutien aux entreprises en amorçage  - Cycle Momentum","Organismes à but non lucratif"
2031.0105,"2.3.1.1c. Appuyer l’émergence de technologies de réduction d'émissions de GES tout au long de la chaîne d’innovation - Appui à la commercialisation - C3E","Organismes à but non lucratif"
2031.02,"2.3.1.2. Appuyer la réalisation de projets collaboratifs industrie-milieu de la recherche en réduction des émissions de GES","Organismes à but non lucratif"
2031.03,"2.3.1.3. Soutenir des projets qui favorisent les maillages entre l’innovation sociale et l'innovation technologique","Organismes à but non lucratif"
2031.03,"2.3.1.3. Soutenir des projets qui favorisent les maillages entre l’innovation sociale et l'innovation technologique","Milieu municipal"
2031.03,"2.3.1.3. Soutenir des projets qui favorisent les maillages entre l’innovation sociale et l'innovation technologique","Ministères et organismes"
2031.03,"2.3.1.3. Soutenir des projets qui favorisent les maillages entre l’innovation sociale et l'innovation technologique","Entreprises (grandes entreprises)"
2031.03,"2.3.1.3. Soutenir des projets qui favorisent les maillages entre l’innovation sociale et l'innovation technologique","Communautés autochtones"
2031.03,"2.3.1.3. Soutenir des projets qui favorisent les maillages entre l’innovation sociale et l'innovation technologique","Entreprises (petites ou moyennes entreprises)"
2041.0201,"2.4.1.2a. Intégrer à la formation professionnelle,  technique, universitaire et continue les programmes et les connaissances  nécessaires à la transition climatique - BRACE","Milieu de la recherche scientifique"
2041.0203,"2.4.1.2b. Intégrer à la formation professionnelle, technique, universitaire et continue les programmes et les connaissances  nécessaires à la transition climatique - Milieu municipal","Organismes à but non lucratif"
2041.0207,"2.4.1.2d. Intégrer à la formation professionnelle,  technique, universitaire et continue les programmes et les connaissances  nécessaires à la transition climatique - Bois","Milieu de la recherche scientifique"
2041.0207,"2.4.1.2d. Intégrer à la formation professionnelle,  technique, universitaire et continue les programmes et les connaissances  nécessaires à la transition climatique - Bois","Organismes à but non lucratif"
2041.0209,"2.4.1.2e. Intégrer à la formation professionnelle,  technique, universitaire et continue les programmes et les connaissances  nécessaires à la transition climatique - Santé","Milieu de la recherche scientifique"
2041.0209,"2.4.1.2e. Intégrer à la formation professionnelle,  technique, universitaire et continue les programmes et les connaissances  nécessaires à la transition climatique - Santé","Ministères et organismes gouvernementaux"
2041.0209,"2.4.1.2e. Intégrer à la formation professionnelle,  technique, universitaire et continue les programmes et les connaissances  nécessaires à la transition climatique - Santé","Organismes à but non lucratif"
2041.0211,"2.4.1.2f. Intégrer à la formation professionnelle, technique, universitaire et continue les programmes et les connaissances nécessaires à la transition climatique . Milieu financier","Entreprises (petites ou moyennes entreprises)"
2041.0211,"2.4.1.2f. Intégrer à la formation professionnelle, technique, universitaire et continue les programmes et les connaissances nécessaires à la transition climatique . Milieu financier","Organismes à but non lucratif"
2041.0211,"2.4.1.2f. Intégrer à la formation professionnelle, technique, universitaire et continue les programmes et les connaissances nécessaires à la transition climatique . Milieu financier","Entreprises (grandes entreprises)"
3011.01,"3.1.1.1. Cartographier et diffuser les risques comme les îlots de chaleur, les pollens allergènes et les zoonoses","Milieu de la recherche scientifique"
3011.01,"3.1.1.1. Cartographier et diffuser les risques comme les îlots de chaleur, les pollens allergènes et les zoonoses","Ministères et organismes gouvernementaux"
3011.01,"3.1.1.1. Cartographier et diffuser les risques comme les îlots de chaleur, les pollens allergènes et les zoonoses","Organismes à but non lucratif"
3011.0201,"3.1.1.2a. Soutenir la réalisation d'analyses de risques  et de plans d'adaptation - municipalités","Milieu municipal"
3011.0203,"3.1.1.2b. Soutenir la réalisation d'analyses de risques  et de plans d'adaptation -  santé","Ministères et organismes gouvernementaux"
3011.0205,"3.1.1.2c. Soutenir la réalisation d'analyses de risques  et de plans d'adaptation - Protection des sources d'eau potable","Milieu de la recherche scientifique"
3011.0301,"3.1.1.3a. Implanter des mesures d’adaptation comme  le verdissement - Programme de prévention et de réduction des risques liés aux changements climatiques par le verdissement","Communautés autochtones"
3011.0301,"3.1.1.3a. Implanter des mesures d’adaptation comme  le verdissement - Programme de prévention et de réduction des risques liés aux changements climatiques par le verdissement","Milieu municipal"
3011.0305,"3.1.1.3c. Implanter des mesures d’adaptation comme le verdissement . Élaborer et implanter des mesures de lutte contre les pollens allergènes","Organismes à but non lucratif"
3011.0305,"3.1.1.3c. Implanter des mesures d’adaptation comme le verdissement . Élaborer et implanter des mesures de lutte contre les pollens allergènes","Milieu de la recherche scientifique"
3011.0305,"3.1.1.3c. Implanter des mesures d’adaptation comme le verdissement . Élaborer et implanter des mesures de lutte contre les pollens allergènes","Milieu municipal"
3011.0307,"3.1.1.3d. Implanter des mesures d’adaptation comme  le verdissement - Déployer à l'échelle du Québec un système d'alertes téléphoniques automatisé pour la chaleur, le smog et le pollen","Entreprises (petites ou moyennes entreprises)"
3011.0307,"3.1.1.3d. Implanter des mesures d’adaptation comme  le verdissement - Déployer à l'échelle du Québec un système d'alertes téléphoniques automatisé pour la chaleur, le smog et le pollen","Organismes à but non lucratif"
3012.01,"3.1.2.1. Contribuer à cartographier les zones inondables en climat futur","Citoyens"
3012.01,"3.1.2.1. Contribuer à cartographier les zones inondables en climat futur","Milieu de la recherche scientifique"
3012.01,"3.1.2.1. Contribuer à cartographier les zones inondables en climat futur","Milieu municipal"
3012.01,"3.1.2.1. Contribuer à cartographier les zones inondables en climat futur","Ministères et organismes gouvernementaux"
3012.02,"3.1.2.2. Planifier et implanter des solutions d’adaptation face aux inondations","Milieu municipal"
3012.03,"3.1.2.3. Améliorer les outils d’adaptation et de projection de débits des cours d’eau en climat actuel et futur","Ministères et organismes gouvernementaux"
3012.03,"3.1.2.3. Améliorer les outils d’adaptation et de projection de débits des cours d’eau en climat actuel et futur","Milieu de la recherche scientifique"
3013.01,"3.1.3.1. Cartographier et diffuser les risques d'érosion et de submersion côtières","Milieu de la recherche scientifique"
3013.0301,"3.1.3.3. Implanter des solutions d'adaptation pour l’érosion et la submersion côtières","Milieu municipal"
3013.04,"3.1.3.4. Implanter des solutions d'adaptation pour les glissements de terrain","Milieu municipal"
3014.01,"3.1.4.1. Soutenir la réalisation d’appréciations de risques associés aux feux de forêt","Organismes à but non lucratif"
3014.02,"3.1.4.2. Implanter des solutions d’adaptation pour les feux de forêt","Milieu municipal"
3021.0101,"3.2.1.1a. Évaluer les risques pour les infrastructures publiques et planifier leur adaptation - santé","Ministères et organismes gouvernementaux"
3021.0103,"3.2.1.1b. Évaluer les risques pour les infrastructures publiques et planifier leur adaptation - transport","Ministères et organismes gouvernementaux"
3031.0101,"3.3.1.1a. Évaluer les impacts des changements climatiques sur les secteurs économiques les plus vulnérables et les appuyer dans l‘implantation de solutions d’adaptation - Évaluer les impacts économiques et autres mesures d'adaptation","Ministères et organismes gouvernementaux"
3031.0105,"3.3.1.1c. Évaluer les impacts des changements climatiques sur les secteurs économiques les plus vulnérables et les appuyer dans l‘implantation de solutions d’adaptation - Implantation de mesures d'adaptation: essais opérationnels de scénarios sylvicoles a","Milieu de la recherche scientifique"
3031.0105,"3.3.1.1c. Évaluer les impacts des changements climatiques sur les secteurs économiques les plus vulnérables et les appuyer dans l‘implantation de solutions d’adaptation - Implantation de mesures d'adaptation: essais opérationnels de scénarios sylvicoles a","Entreprises (petites ou moyennes entreprises)"
3031.0105,"3.3.1.1c. Évaluer les impacts des changements climatiques sur les secteurs économiques les plus vulnérables et les appuyer dans l‘implantation de solutions d’adaptation - Implantation de mesures d'adaptation: essais opérationnels de scénarios sylvicoles a","Ministères et organismes gouvernementaux"
3031.0105,"3.3.1.1c. Évaluer les impacts des changements climatiques sur les secteurs économiques les plus vulnérables et les appuyer dans l‘implantation de solutions d’adaptation - Implantation de mesures d'adaptation: essais opérationnels de scénarios sylvicoles a","Communautés autochtones"
3031.0105,"3.3.1.1c. Évaluer les impacts des changements climatiques sur les secteurs économiques les plus vulnérables et les appuyer dans l‘implantation de solutions d’adaptation - Implantation de mesures d'adaptation: essais opérationnels de scénarios sylvicoles a","Entreprises (grandes entreprises)"
3031.0107,"3.3.1.1d. Évaluer les impacts des changements climatiques sur les secteurs économiques les plus vulnérables et les appuyer dans l‘implantation de solutions d’adaptation - Implantation de mesures d'adaptation: secteur du tourisme","Organismes à but non lucratif"
3031.0107,"3.3.1.1d. Évaluer les impacts des changements climatiques sur les secteurs économiques les plus vulnérables et les appuyer dans l‘implantation de solutions d’adaptation - Implantation de mesures d'adaptation: secteur du tourisme","Ouranos"
3041.0101,"3.4.1.1a. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Environnement","Communautés autochtones"
3041.0101,"3.4.1.1a. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Environnement","Consultants"
3041.0101,"3.4.1.1a. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Environnement","Milieu de la recherche scientifique"
3041.0101,"3.4.1.1a. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Environnement","Milieu municipal"
3041.0101,"3.4.1.1a. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Environnement","Ministères et organismes gouvernementaux"
3041.0101,"3.4.1.1a. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Environnement","Organismes à but non lucratif"
3041.0103,"3.4.1.1b. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Faune","Organismes à but non lucratif"
3041.0103,"3.4.1.1b. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Faune","Ministères et organismes gouvernementaux"
3041.0103,"3.4.1.1b. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Faune","Milieu municipal"
3041.0103,"3.4.1.1b. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Faune","Communautés autochtones"
3041.0103,"3.4.1.1b. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Faune","Consultants"
3041.0103,"3.4.1.1b. Déployer un réseau de suivi de l'évolution de la biodiversité dans un contexte de changements climatiques - Réseau de suivi de la biodiversité - Faune","Milieu de la recherche scientifique"
3042.0101,"3.4.2.1a. Planifier des corridors écologiques à des fins de conservation - Faune","Milieu de la recherche scientifique"
3042.0101,"3.4.2.1a. Planifier des corridors écologiques à des fins de conservation - Faune","Ministères et organismes gouvernementaux"
3042.0101,"3.4.2.1a. Planifier des corridors écologiques à des fins de conservation - Faune","Organismes à but non lucratif"
3042.0103,"3.4.2.1b. Planifier des corridors écologiques à des fins de conservation - Environnement","Milieu de la recherche scientifique"
3042.0103,"3.4.2.1b. Planifier des corridors écologiques à des fins de conservation - Environnement","Ministères et organismes gouvernementaux"
3051.0101,"3.5.1.1a. Poursuivre l’acquisition de connaissances sur le dégel du pergélisol - suivi terrain","Milieu de la recherche scientifique"
3051.0103,"3.5.1.1b. Poursuivre l’acquisition de connaissances sur le dégel du pergélisol - Chaire de recherche en partenariat sur le pergélisol au Nunavik","Communautés autochtones"
3051.0103,"3.5.1.1b. Poursuivre l’acquisition de connaissances sur le dégel du pergélisol - Chaire de recherche en partenariat sur le pergélisol au Nunavik","Inuit"
3051.0103,"3.5.1.1b. Poursuivre l’acquisition de connaissances sur le dégel du pergélisol - Chaire de recherche en partenariat sur le pergélisol au Nunavik","Milieu de la recherche scientifique"
3051.02,"3.5.1.2. Cartographier les risques d’érosion et de submersion sur les côtes du Nunavik et d’Eeyou Istchee Baie-James, en climat futur","Milieu de la recherche scientifique"
3052.0303,"3.5.2.3b. Évaluer la vulnérabilité et planifier l'adaptation des infrastructures aux impacts des changements climatiques dans le Nord - Transport","Consultants et firmes en génie nordique"
3052.0303,"3.5.2.3b. Évaluer la vulnérabilité et planifier l'adaptation des infrastructures aux impacts des changements climatiques dans le Nord - Transport","Entreprises (petites ou moyennes entreprises)"
3052.0303,"3.5.2.3b. Évaluer la vulnérabilité et planifier l'adaptation des infrastructures aux impacts des changements climatiques dans le Nord - Transport","Milieu de la recherche scientifique"
3052.0303,"3.5.2.3b. Évaluer la vulnérabilité et planifier l'adaptation des infrastructures aux impacts des changements climatiques dans le Nord - Transport","Ministères et organismes gouvernementaux"
3052.0305,"3.5.2.3c. Évaluer la vulnérabilité et planifier l'adaptation des infrastructures aux impacts des changements climatiques dans le Nord - Habitation","Ministères et organismes gouvernementaux"
3053.01,"3.5.3.1a. Développer les connaissances sur les espèces clés et émergentes pour la sécurité alimentaire autochtone - Systèmes alimentaires autochtones locaux","Ministères et organismes gouvernementaux"
3053.01,"3.5.3.1a. Développer les connaissances sur les espèces clés et émergentes pour la sécurité alimentaire autochtone - Systèmes alimentaires autochtones locaux","Milieu de la recherche scientifique"
3053.0103,"3.5.3.1b. Développer les connaissances sur les espèces clés et émergentes pour la sécurité alimentaire autochtone - Gestion durable des populations de poissons au Nunavik","Citoyens"
3053.0103,"3.5.3.1b. Développer les connaissances sur les espèces clés et émergentes pour la sécurité alimentaire autochtone - Gestion durable des populations de poissons au Nunavik","Communautés autochtones"
3053.0103,"3.5.3.1b. Développer les connaissances sur les espèces clés et émergentes pour la sécurité alimentaire autochtone - Gestion durable des populations de poissons au Nunavik","Milieu de la recherche scientifique"
3053.0103,"3.5.3.1b. Développer les connaissances sur les espèces clés et émergentes pour la sécurité alimentaire autochtone - Gestion durable des populations de poissons au Nunavik","Ministères et organismes gouvernementaux"
3061.0101,"3.6.1.1a. Élaborer et mettre en œuvre une programmation de recherche en adaptation - Environnement","Milieu de la recherche scientifique"
3061.0103,"3.6.1.1b. Élaborer et mettre en œuvre une programmation de recherche en adaptation  - Foresterie","Milieu de la recherche scientifique"
3061.0103,"3.6.1.1b. Élaborer et mettre en œuvre une programmation de recherche en adaptation  - Foresterie","Ministères et organismes gouvernementaux"
4011.02,"4.1.1.2. Soutenir des projets de vitrine technologique gouvernementale pour des projets d’innovation technologique et sociale en atténuation et en adaptation","Ministères et organismes gouvernementaux"
4021.0101,"4.2.1.1a. Déployer une stratégie de mobilisation en changements climatiques - Mesurer le niveau d’engagement de la population et entretenir le dialogue avec les citoyens, les organisations et les communautés","Fondation en environnement et développement durable"
4021.0101,"4.2.1.1a. Déployer une stratégie de mobilisation en changements climatiques - Mesurer le niveau d’engagement de la population et entretenir le dialogue avec les citoyens, les organisations et les communautés","Futur simple coopérative de solidarité"
4021.0103,"4.2.1.1b. Déployer une stratégie de mobilisation en changements climatiques - Réaliser des campagnes de sensibilisation et d’éducation","Entreprises (petites ou moyennes entreprises)"
4021.0105,"4.2.1.1c. Déployer une stratégie de mobilisation en changements climatiques - Appuyer la mise en œuvre d’initiatives de sensibilisation et de mobilisation (Action-Climat)","Chambres de commerce"
4021.0105,"4.2.1.1c. Déployer une stratégie de mobilisation en changements climatiques - Appuyer la mise en œuvre d’initiatives de sensibilisation et de mobilisation (Action-Climat)","Coopératives"
4021.0105,"4.2.1.1c. Déployer une stratégie de mobilisation en changements climatiques - Appuyer la mise en œuvre d’initiatives de sensibilisation et de mobilisation (Action-Climat)","Organismes à but non lucratif"
4021.0105,"4.2.1.1c. Déployer une stratégie de mobilisation en changements climatiques - Appuyer la mise en œuvre d’initiatives de sensibilisation et de mobilisation (Action-Climat)","Syndicats"
4021.0107,"4.2.1.1d. Déployer une stratégie de mobilisation en changements climatiques - Appuyer la mise en œuvre d’initiatives de sensibilisation et de mobilisation - Déclic","Organismes à but non lucratif"
4021.0107,"4.2.1.1d. Déployer une stratégie de mobilisation en changements climatiques - Appuyer la mise en œuvre d’initiatives de sensibilisation et de mobilisation - Déclic","Organismes du secteur culturel"
4021.0109,"4.2.1.1e. Déployer une stratégie de mobilisation en changements climatiques - Activités de sensibilisation en santé","Organismes à but non lucratif"
4021.0109,"4.2.1.1e. Déployer une stratégie de mobilisation en changements climatiques - Activités de sensibilisation en santé","Milieu municipal"
4021.0109,"4.2.1.1e. Déployer une stratégie de mobilisation en changements climatiques - Activités de sensibilisation en santé","Ministères et organismes gouvernementaux"
4021.0109,"4.2.1.1e. Déployer une stratégie de mobilisation en changements climatiques - Activités de sensibilisation en santé","Citoyens"
4021.0109,"4.2.1.1e. Déployer une stratégie de mobilisation en changements climatiques - Activités de sensibilisation en santé","Milieu de la recherche scientifique"
4021.0111,"4.2.1.1f. Déployer une stratégie de mobilisation en changements climatiques - Réaliser des campagnes de sensibilisation et de mobilisation sur la transition climatique","Organismes à but non lucratif"
4021.02,"4.2.1.2a. Accélérer la transition climatique locale - Élaboration de plans climat par le monde municipal, accompagnement et partage d'expertise","Milieu municipal"
4021.0203,"4.2.1.2b. Accélérer la transition climatique locale - Planification et mise en oeuvre  de projets issus des plans climat","Milieu municipal"
4022.0101,"4.2.2.1a. Soutenir les Premières Nations et les Inuits pour agir en changements climatiques: Inuits, Cris, Naskapis et Premières Nations","Communautés autochtones"
4022.0103,"4.2.2.1b. Soutenir les Premières Nations et les Inuits pour agir dans leur transition énergétique","Inuit, Cris, Naskapis"
4022.0103,"4.2.2.1b. Soutenir les Premières Nations et les Inuits pour agir dans leur transition énergétique","Communautés autochtones"
4022.0103,"4.2.2.1b. Soutenir les Premières Nations et les Inuits pour agir dans leur transition énergétique","Entreprises avec actionnaires autochtones"
4022.0103,"4.2.2.1b. Soutenir les Premières Nations et les Inuits pour agir dans leur transition énergétique","IDDPNQL (Pour les Premières Nations excepté les Cris et Naskapis)"
4022.0103,"4.2.2.1b. Soutenir les Premières Nations et les Inuits pour agir dans leur transition énergétique","Organismes à but non lucratif"
4023.01,"4.2.3.1. Renforcer et étendre les partenariats stratégiques du Québec en changements climatiques sur les scènes canadienne et internationale","Organismes à but non lucratif"
4023.01,"4.2.3.1. Renforcer et étendre les partenariats stratégiques du Québec en changements climatiques sur les scènes canadienne et internationale","Citoyens"
4023.0201,"4.2.3.2a. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Programme de coopération climatique internationale (PCCI)","Entreprises (petites ou moyennes entreprises)"
4023.0201,"4.2.3.2a. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Programme de coopération climatique internationale (PCCI)","Milieu de la recherche scientifique"
4023.0201,"4.2.3.2a. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Programme de coopération climatique internationale (PCCI)","Organismes à but non lucratif"
4023.0203,"4.2.3.2b. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Coopération climatique municipale","Entreprises (petites ou moyennes entreprises)"
4023.0203,"4.2.3.2b. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Coopération climatique municipale","Milieu municipal"
4023.0205,"4.2.3.2c. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Initiative jeunesse de lutte contre les changements climatiques","Les Offices jeunesses internationaux du Québec (LOJIQ)"
4023.0205,"4.2.3.2c. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Initiative jeunesse de lutte contre les changements climatiques","L'Institut de la Francophonie pour le développement durable (IFDD)"
4023.02051,"4.2.3.2d. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Contribution à des fonds et projets internationaux","Gouvernements nationaux des pays bénéficiaires"
4023.02051,"4.2.3.2d. Soutenir des initiatives québécoises et multilatérales de coopération climatique internationale - Contribution à des fonds et projets internationaux","Communautés des pays oû ces projets et programmes seront instaurés"
4032.02,"4.3.2.2. Établir de nouveaux partenariats et renforcer les partenariats existants  sur les marchés du carbone","organisations et administrations internationales"
4032.02,"4.3.2.2. Établir de nouveaux partenariats et renforcer les partenariats existants  sur les marchés du carbone","Citoyens"
4032.02,"4.3.2.2. Établir de nouveaux partenariats et renforcer les partenariats existants  sur les marchés du carbone","Ministères et organismes gouvernementaux"
5011.01,"5.1.1.1. Consolider la comptabilisation des stocks et des flux de carbone des milieux naturels et des produits du bois","Ministères et organismes gouvernementaux"
5011.0201,"5.1.1.2a. Maintenir et consolider les réseaux de suivi du climat et des changements climatiques - Surveillance du climat","Ministères et organismes gouvernementaux"
5011.0203,"5.1.1.2b. Maintenir et consolider les réseaux de suivi du climat et des changements climatiques - Maintien du réseau hydrométrique","Ministères et organismes gouvernementaux"
5012.0201,"5.1.2.2. Améliorer les modèles climatiques","Milieu de la recherche scientifique"
5021.01,"5.2.1.1. Renforcer l’expertise et la capacité du Consortium sur la climatologie régionale et l'adaptation aux changements climatiques (Ouranos)","Organismes à but non lucratif"
5031.0101,"5.3.1.1. Évaluer les potentiels de réduction de GES de nouvelles interventions","Milieu de la recherche scientifique"
5031.0101,"5.3.1.1. Évaluer les potentiels de réduction de GES de nouvelles interventions","Organismes à but non lucratif"
5041.02,"5.4.1.2. Développer des indicateurs de transition climatique","Milieu de la recherche scientifique"
5041.02,"5.4.1.2. Développer des indicateurs de transition climatique","Ministères et organismes gouvernementaux"
